parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"z_innov_s[ES, 2015-04-19 00:00:00]",0.138,0.967,-1.673,1.928,0.009,0.013,11040.0,4631.0,1.0
"z_innov_s[ES, 2015-04-26 00:00:00]",0.172,0.989,-1.675,2.021,0.009,0.014,10938.0,4328.0,1.0
"z_innov_s[ES, 2015-05-03 00:00:00]",0.169,0.957,-1.61,1.924,0.009,0.014,10245.0,4217.0,1.0
"z_innov_s[ES, 2015-05-10 00:00:00]",0.012,1.006,-1.911,1.835,0.009,0.015,12675.0,4569.0,1.0
"z_innov_s[ES, 2015-05-17 00:00:00]",0.027,0.983,-1.939,1.799,0.009,0.014,11806.0,4332.0,1.0
"z_innov_s[ES, 2015-05-24 00:00:00]",0.048,1.004,-1.791,1.946,0.009,0.016,11719.0,3765.0,1.0
"z_innov_s[ES, 2015-05-31 00:00:00]",0.081,0.968,-1.71,1.847,0.009,0.014,12200.0,4121.0,1.0
"z_innov_s[ES, 2015-06-07 00:00:00]",0.123,0.977,-1.717,1.939,0.009,0.014,11183.0,3938.0,1.0
"z_innov_s[ES, 2015-06-14 00:00:00]",0.147,0.994,-1.708,2.005,0.009,0.014,11519.0,4468.0,1.0
"z_innov_s[ES, 2015-06-21 00:00:00]",0.184,0.958,-1.643,1.921,0.009,0.015,11023.0,4151.0,1.0
"z_innov_s[ES, 2015-06-28 00:00:00]",0.196,0.968,-1.655,1.986,0.01,0.014,9852.0,3805.0,1.0
"z_innov_s[ES, 2015-07-05 00:00:00]",0.245,0.97,-1.537,2.072,0.009,0.014,11872.0,4323.0,1.0
"z_innov_s[ES, 2015-07-12 00:00:00]",0.264,0.991,-1.606,2.078,0.009,0.015,11617.0,4004.0,1.0
"z_innov_s[ES, 2015-07-19 00:00:00]",0.284,0.985,-1.633,2.076,0.009,0.015,12436.0,3843.0,1.0
"z_innov_s[ES, 2015-07-26 00:00:00]",0.33,0.966,-1.46,2.168,0.009,0.014,11802.0,4326.0,1.0
"z_innov_s[ES, 2015-08-02 00:00:00]",0.388,0.979,-1.406,2.244,0.01,0.014,10009.0,4779.0,1.0
"z_innov_s[ES, 2015-08-09 00:00:00]",0.394,0.99,-1.513,2.23,0.01,0.015,10247.0,4144.0,1.0
"z_innov_s[ES, 2015-08-16 00:00:00]",0.422,1.004,-1.47,2.253,0.009,0.015,11792.0,4206.0,1.0
"z_innov_s[ES, 2015-08-23 00:00:00]",0.461,0.986,-1.377,2.31,0.009,0.014,12152.0,4035.0,1.0
"z_innov_s[ES, 2015-08-30 00:00:00]",0.505,0.971,-1.377,2.264,0.009,0.013,10737.0,4719.0,1.0
"z_innov_s[ES, 2015-09-06 00:00:00]",0.536,0.994,-1.427,2.254,0.01,0.015,10660.0,4021.0,1.0
"z_innov_s[ES, 2015-09-13 00:00:00]",0.584,0.963,-1.191,2.456,0.008,0.016,13652.0,3852.0,1.0
"z_innov_s[ES, 2015-09-20 00:00:00]",0.63,0.967,-1.113,2.482,0.009,0.013,11219.0,4484.0,1.0
"z_innov_s[ES, 2015-09-27 00:00:00]",0.51,0.961,-1.366,2.253,0.009,0.013,11225.0,4719.0,1.0
"z_innov_s[ES, 2015-10-04 00:00:00]",0.549,0.985,-1.333,2.391,0.009,0.014,10773.0,4586.0,1.0
"z_innov_s[ES, 2015-10-11 00:00:00]",0.598,0.958,-1.249,2.341,0.01,0.014,9707.0,4179.0,1.0
"z_innov_s[ES, 2015-10-18 00:00:00]",0.505,0.959,-1.267,2.343,0.009,0.015,10592.0,3874.0,1.0
"z_innov_s[ES, 2015-10-25 00:00:00]",0.573,0.963,-1.264,2.302,0.009,0.014,10368.0,4705.0,1.0
"z_innov_s[ES, 2015-11-01 00:00:00]",0.49,0.967,-1.329,2.33,0.01,0.014,10021.0,3659.0,1.0
"z_innov_s[ES, 2015-11-08 00:00:00]",0.425,0.962,-1.367,2.174,0.009,0.014,11885.0,4660.0,1.0
"z_innov_s[ES, 2015-11-15 00:00:00]",0.521,0.979,-1.317,2.37,0.009,0.014,11880.0,4201.0,1.0
"z_innov_s[ES, 2015-11-22 00:00:00]",0.616,0.946,-1.242,2.319,0.009,0.013,11325.0,4848.0,1.0
"z_innov_s[ES, 2015-11-29 00:00:00]",0.45,0.95,-1.328,2.184,0.008,0.016,12594.0,4490.0,1.0
"z_innov_s[ES, 2015-12-06 00:00:00]",0.437,0.953,-1.28,2.241,0.008,0.016,12636.0,3968.0,1.0
"z_innov_s[ES, 2015-12-13 00:00:00]",0.277,0.96,-1.627,1.988,0.009,0.014,10763.0,4596.0,1.0
"z_innov_s[ES, 2015-12-20 00:00:00]",0.406,0.953,-1.386,2.155,0.009,0.014,12161.0,4352.0,1.0
"z_innov_s[ES, 2015-12-27 00:00:00]",0.405,0.977,-1.42,2.228,0.01,0.014,10366.0,4249.0,1.0
"z_innov_s[ES, 2016-01-03 00:00:00]",0.468,0.967,-1.407,2.162,0.009,0.013,10684.0,4512.0,1.0
"z_innov_s[ES, 2016-01-10 00:00:00]",0.55,0.982,-1.307,2.315,0.009,0.015,10779.0,4200.0,1.0
"z_innov_s[ES, 2016-01-17 00:00:00]",0.568,0.952,-1.222,2.321,0.01,0.013,9310.0,4371.0,1.0
"z_innov_s[ES, 2016-01-24 00:00:00]",0.52,0.931,-1.194,2.3,0.009,0.014,10974.0,4494.0,1.0
"z_innov_s[ES, 2016-01-31 00:00:00]",0.355,0.946,-1.431,2.132,0.009,0.015,11121.0,4069.0,1.0
"z_innov_s[ES, 2016-02-07 00:00:00]",0.31,0.957,-1.459,2.169,0.009,0.013,10883.0,4716.0,1.0
"z_innov_s[ES, 2016-02-14 00:00:00]",0.343,0.944,-1.421,2.114,0.009,0.013,11189.0,4678.0,1.0
"z_innov_s[ES, 2016-02-21 00:00:00]",0.249,0.956,-1.529,2.071,0.009,0.015,11308.0,4166.0,1.0
"z_innov_s[ES, 2016-02-28 00:00:00]",0.103,0.923,-1.648,1.81,0.009,0.013,11299.0,4820.0,1.0
"z_innov_s[ES, 2016-03-06 00:00:00]",-0.012,0.93,-1.719,1.74,0.009,0.013,11347.0,4311.0,1.0
"z_innov_s[ES, 2016-03-13 00:00:00]",-0.064,0.963,-1.886,1.669,0.009,0.014,12133.0,4459.0,1.0
"z_innov_s[ES, 2016-03-20 00:00:00]",-0.021,0.951,-1.791,1.736,0.009,0.013,10980.0,4439.0,1.0
"z_innov_s[ES, 2016-03-27 00:00:00]",-0.149,0.974,-1.961,1.658,0.009,0.015,10956.0,3835.0,1.0
"z_innov_s[ES, 2016-04-03 00:00:00]",-0.173,0.948,-1.937,1.562,0.009,0.014,10339.0,4120.0,1.0
"z_innov_s[ES, 2016-04-10 00:00:00]",-0.059,0.96,-1.871,1.7,0.009,0.015,11972.0,4073.0,1.0
"z_innov_s[ES, 2016-04-17 00:00:00]",-0.002,0.943,-1.736,1.81,0.01,0.012,9172.0,3976.0,1.0
"z_innov_s[ES, 2016-04-24 00:00:00]",0.119,0.946,-1.625,1.914,0.009,0.014,10564.0,4594.0,1.0
"z_innov_s[ES, 2016-05-01 00:00:00]",0.028,0.941,-1.671,1.83,0.009,0.015,10888.0,4289.0,1.0
"z_innov_s[ES, 2016-05-08 00:00:00]",-0.087,0.947,-1.863,1.658,0.009,0.013,11154.0,4574.0,1.0
"z_innov_s[ES, 2016-05-15 00:00:00]",-0.021,0.963,-1.781,1.797,0.009,0.013,12777.0,4977.0,1.0
"z_innov_s[ES, 2016-05-22 00:00:00]",0.024,0.953,-1.716,1.835,0.009,0.014,11572.0,4457.0,1.0
"z_innov_s[ES, 2016-05-29 00:00:00]",0.011,0.96,-1.781,1.802,0.009,0.014,11730.0,4546.0,1.0
"z_innov_s[ES, 2016-06-05 00:00:00]",0.073,0.976,-1.641,2.016,0.009,0.015,11358.0,4320.0,1.0
"z_innov_s[ES, 2016-06-12 00:00:00]",0.141,0.945,-1.639,1.865,0.009,0.014,11567.0,4262.0,1.0
"z_innov_s[ES, 2016-06-19 00:00:00]",0.217,0.961,-1.638,2.01,0.009,0.014,11095.0,4487.0,1.0
"z_innov_s[ES, 2016-06-26 00:00:00]",0.138,0.975,-1.704,1.971,0.009,0.016,11293.0,4274.0,1.0
"z_innov_s[ES, 2016-07-03 00:00:00]",0.017,0.934,-1.708,1.785,0.009,0.016,10941.0,4020.0,1.0
"z_innov_s[ES, 2016-07-10 00:00:00]",0.108,0.964,-1.745,1.806,0.009,0.014,11223.0,4619.0,1.0
"z_innov_s[ES, 2016-07-17 00:00:00]",0.086,0.941,-1.671,1.811,0.008,0.014,12278.0,4542.0,1.0
"z_innov_s[ES, 2016-07-24 00:00:00]",0.18,0.94,-1.689,1.87,0.008,0.014,12809.0,4009.0,1.0
"z_innov_s[ES, 2016-07-31 00:00:00]",0.072,0.965,-1.693,1.913,0.009,0.014,10644.0,4165.0,1.0
"z_innov_s[ES, 2016-08-07 00:00:00]",0.093,0.956,-1.589,2.029,0.009,0.014,10187.0,3941.0,1.0
"z_innov_s[ES, 2016-08-14 00:00:00]",0.21,0.959,-1.582,1.919,0.01,0.013,9907.0,4593.0,1.0
"z_innov_s[ES, 2016-08-21 00:00:00]",0.245,0.958,-1.463,2.096,0.008,0.014,12868.0,4717.0,1.0
"z_innov_s[ES, 2016-08-28 00:00:00]",0.337,0.953,-1.414,2.149,0.009,0.013,10409.0,4264.0,1.0
"z_innov_s[ES, 2016-09-04 00:00:00]",0.256,0.959,-1.46,2.171,0.009,0.014,11101.0,4044.0,1.0
"z_innov_s[ES, 2016-09-11 00:00:00]",0.122,0.942,-1.589,1.913,0.009,0.012,9900.0,4403.0,1.0
"z_innov_s[ES, 2016-09-18 00:00:00]",-0.019,0.956,-1.846,1.705,0.009,0.014,12291.0,4544.0,1.0
"z_innov_s[ES, 2016-09-25 00:00:00]",0.111,0.967,-1.577,2.022,0.009,0.015,12452.0,4347.0,1.0
"z_innov_s[ES, 2016-10-02 00:00:00]",0.197,0.95,-1.53,1.997,0.009,0.013,10147.0,4534.0,1.0
"z_innov_s[ES, 2016-10-09 00:00:00]",0.214,0.959,-1.441,2.132,0.01,0.013,9870.0,4609.0,1.0
"z_innov_s[ES, 2016-10-16 00:00:00]",0.304,0.941,-1.361,2.153,0.008,0.014,12469.0,4689.0,1.0
"z_innov_s[ES, 2016-10-23 00:00:00]",0.401,0.95,-1.484,2.111,0.009,0.013,11417.0,4207.0,1.0
"z_innov_s[ES, 2016-10-30 00:00:00]",0.438,0.962,-1.314,2.292,0.009,0.014,10827.0,4036.0,1.0
"z_innov_s[ES, 2016-11-06 00:00:00]",0.381,0.952,-1.334,2.13,0.009,0.013,11973.0,4846.0,1.0
"z_innov_s[ES, 2016-11-13 00:00:00]",0.29,0.959,-1.48,2.111,0.009,0.014,11757.0,4469.0,1.0
"z_innov_s[ES, 2016-11-20 00:00:00]",0.324,0.991,-1.652,2.047,0.009,0.015,12161.0,4047.0,1.0
"z_innov_s[ES, 2016-11-27 00:00:00]",0.362,0.951,-1.502,2.092,0.009,0.013,11086.0,4505.0,1.0
"z_innov_s[ES, 2016-12-04 00:00:00]",0.345,0.955,-1.524,2.07,0.01,0.015,9612.0,3867.0,1.0
"z_innov_s[ES, 2016-12-11 00:00:00]",0.34,0.957,-1.407,2.209,0.01,0.013,9813.0,4296.0,1.0
"z_innov_s[ES, 2016-12-18 00:00:00]",0.376,0.939,-1.335,2.132,0.009,0.015,11859.0,4347.0,1.0
"z_innov_s[ES, 2016-12-25 00:00:00]",0.346,0.943,-1.364,2.111,0.01,0.013,9344.0,4281.0,1.0
"z_innov_s[ES, 2017-01-01 00:00:00]",0.2,0.963,-1.602,2.028,0.008,0.016,13252.0,4124.0,1.0
"z_innov_s[ES, 2017-01-08 00:00:00]",0.07,0.933,-1.633,1.815,0.008,0.013,12406.0,4786.0,1.0
"z_innov_s[ES, 2017-01-15 00:00:00]",0.02,0.969,-1.764,1.874,0.009,0.015,11245.0,4256.0,1.0
"z_innov_s[ES, 2017-01-22 00:00:00]",-0.02,0.947,-1.791,1.797,0.009,0.013,11213.0,4587.0,1.0
"z_innov_s[ES, 2017-01-29 00:00:00]",-0.046,0.969,-1.876,1.725,0.009,0.014,12402.0,4624.0,1.0
"z_innov_s[ES, 2017-02-05 00:00:00]",-0.037,0.964,-1.848,1.751,0.01,0.013,10138.0,4530.0,1.0
"z_innov_s[ES, 2017-02-12 00:00:00]",0.076,0.938,-1.782,1.756,0.009,0.013,9882.0,4307.0,1.0
"z_innov_s[ES, 2017-02-19 00:00:00]",0.181,0.935,-1.61,1.886,0.009,0.013,11882.0,3881.0,1.0
"z_innov_s[ES, 2017-02-26 00:00:00]",0.275,0.962,-1.467,2.148,0.01,0.014,9844.0,4386.0,1.0
"z_innov_s[ES, 2017-03-05 00:00:00]",0.232,0.952,-1.599,1.97,0.009,0.014,10889.0,4181.0,1.0
"z_innov_s[ES, 2017-03-12 00:00:00]",0.2,0.953,-1.651,1.932,0.009,0.014,11037.0,4234.0,1.0
"z_innov_s[ES, 2017-03-19 00:00:00]",0.135,0.938,-1.635,1.881,0.009,0.013,10714.0,4780.0,1.0
"z_innov_s[ES, 2017-03-26 00:00:00]",0.073,0.955,-1.698,1.855,0.01,0.013,9591.0,4590.0,1.0
"z_innov_s[ES, 2017-04-02 00:00:00]",0.064,0.951,-1.709,1.85,0.01,0.013,9736.0,4156.0,1.0
"z_innov_s[ES, 2017-04-09 00:00:00]",0.045,0.943,-1.753,1.788,0.01,0.013,9526.0,4410.0,1.0
"z_innov_s[ES, 2017-04-16 00:00:00]",0.113,0.926,-1.712,1.796,0.009,0.014,10873.0,4327.0,1.0
"z_innov_s[ES, 2017-04-23 00:00:00]",0.111,0.96,-1.662,1.934,0.009,0.015,12699.0,3719.0,1.0
"z_innov_s[ES, 2017-04-30 00:00:00]",0.131,0.942,-1.548,1.935,0.009,0.014,10623.0,3938.0,1.0
"z_innov_s[ES, 2017-05-07 00:00:00]",0.095,0.934,-1.616,1.882,0.01,0.013,9360.0,4260.0,1.0
"z_innov_s[ES, 2017-05-14 00:00:00]",0.073,0.965,-1.779,1.831,0.009,0.015,12441.0,4045.0,1.0
"z_innov_s[ES, 2017-05-21 00:00:00]",0.076,0.938,-1.637,1.881,0.009,0.014,10204.0,4261.0,1.0
"z_innov_s[ES, 2017-05-28 00:00:00]",0.034,0.94,-1.691,1.824,0.009,0.014,10980.0,4310.0,1.0
"z_innov_s[ES, 2017-06-04 00:00:00]",0.058,0.96,-1.683,1.937,0.009,0.014,12431.0,4583.0,1.0
"z_innov_s[ES, 2017-06-11 00:00:00]",0.115,0.972,-1.663,1.984,0.009,0.013,10911.0,4587.0,1.0
"z_innov_s[ES, 2017-06-18 00:00:00]",0.119,0.936,-1.654,1.881,0.009,0.013,11379.0,4857.0,1.0
"z_innov_s[ES, 2017-06-25 00:00:00]",0.075,0.936,-1.692,1.846,0.009,0.014,11693.0,4514.0,1.0
"z_innov_s[ES, 2017-07-02 00:00:00]",0.086,0.959,-1.809,1.808,0.009,0.016,11494.0,4322.0,1.0
"z_innov_s[ES, 2017-07-09 00:00:00]",0.037,0.964,-1.928,1.73,0.009,0.014,11915.0,4176.0,1.0
"z_innov_s[ES, 2017-07-16 00:00:00]",0.14,0.959,-1.804,1.824,0.009,0.014,11093.0,4674.0,1.0
"z_innov_s[ES, 2017-07-23 00:00:00]",0.094,0.924,-1.624,1.849,0.009,0.013,9617.0,4405.0,1.0
"z_innov_s[ES, 2017-07-30 00:00:00]",0.109,0.963,-1.757,1.852,0.009,0.013,11569.0,4658.0,1.0
"z_innov_s[ES, 2017-08-06 00:00:00]",0.101,0.953,-1.764,1.83,0.009,0.013,11664.0,4273.0,1.0
"z_innov_s[ES, 2017-08-13 00:00:00]",0.088,0.96,-1.616,1.976,0.009,0.015,10259.0,3846.0,1.0
"z_innov_s[ES, 2017-08-20 00:00:00]",0.193,0.943,-1.549,1.966,0.009,0.013,10097.0,4788.0,1.0
"z_innov_s[ES, 2017-08-27 00:00:00]",0.167,0.93,-1.551,1.958,0.009,0.013,10589.0,4181.0,1.0
"z_innov_s[ES, 2017-09-03 00:00:00]",0.092,0.959,-1.724,1.886,0.009,0.014,12659.0,4165.0,1.0
"z_innov_s[ES, 2017-09-10 00:00:00]",0.131,0.933,-1.713,1.825,0.009,0.013,11170.0,4539.0,1.0
"z_innov_s[ES, 2017-09-17 00:00:00]",0.054,0.938,-1.721,1.818,0.009,0.013,11190.0,4909.0,1.0
"z_innov_s[ES, 2017-09-24 00:00:00]",-0.024,0.95,-1.788,1.787,0.009,0.014,11801.0,4533.0,1.0
"z_innov_s[ES, 2017-10-01 00:00:00]",-0.012,0.928,-1.811,1.673,0.009,0.014,10683.0,4379.0,1.0
"z_innov_s[ES, 2017-10-08 00:00:00]",-0.037,0.957,-1.872,1.725,0.009,0.016,11904.0,3599.0,1.0
"z_innov_s[ES, 2017-10-15 00:00:00]",0.014,0.952,-1.822,1.754,0.009,0.014,10895.0,4110.0,1.0
"z_innov_s[ES, 2017-10-22 00:00:00]",-0.022,0.965,-1.825,1.763,0.009,0.014,10820.0,4250.0,1.0
"z_innov_s[ES, 2017-10-29 00:00:00]",0.055,0.946,-1.715,1.871,0.01,0.015,9896.0,3940.0,1.0
"z_innov_s[ES, 2017-11-05 00:00:00]",-0.007,0.952,-1.855,1.701,0.009,0.013,10385.0,4539.0,1.0
"z_innov_s[ES, 2017-11-12 00:00:00]",-0.054,0.954,-1.84,1.764,0.009,0.014,10425.0,4236.0,1.0
"z_innov_s[ES, 2017-11-19 00:00:00]",-0.104,0.944,-1.814,1.727,0.009,0.014,11429.0,4188.0,1.0
"z_innov_s[ES, 2017-11-26 00:00:00]",0.0,0.945,-1.786,1.743,0.009,0.015,10548.0,3898.0,1.0
"z_innov_s[ES, 2017-12-03 00:00:00]",-0.084,0.941,-1.812,1.682,0.009,0.013,11307.0,4856.0,1.0
"z_innov_s[ES, 2017-12-10 00:00:00]",-0.12,0.959,-1.874,1.765,0.01,0.014,9956.0,4395.0,1.0
"z_innov_s[ES, 2017-12-17 00:00:00]",-0.06,0.933,-1.799,1.671,0.009,0.013,11006.0,4294.0,1.0
"z_innov_s[ES, 2017-12-24 00:00:00]",-0.059,0.94,-1.835,1.722,0.009,0.013,10577.0,4362.0,1.0
"z_innov_s[ES, 2017-12-31 00:00:00]",0.027,0.948,-1.661,1.866,0.009,0.013,10879.0,4527.0,1.0
"z_innov_s[ES, 2018-01-07 00:00:00]",-0.024,0.965,-1.875,1.758,0.009,0.017,12301.0,3585.0,1.01
"z_innov_s[ES, 2018-01-14 00:00:00]",0.063,0.945,-1.709,1.844,0.008,0.013,12751.0,4420.0,1.0
"z_innov_s[ES, 2018-01-21 00:00:00]",-0.028,0.945,-1.828,1.697,0.009,0.013,10441.0,4632.0,1.0
"z_innov_s[ES, 2018-01-28 00:00:00]",0.04,0.915,-1.617,1.782,0.009,0.012,10547.0,4647.0,1.0
"z_innov_s[ES, 2018-02-04 00:00:00]",0.045,0.936,-1.74,1.755,0.009,0.012,10460.0,4730.0,1.0
"z_innov_s[ES, 2018-02-11 00:00:00]",0.035,0.94,-1.813,1.734,0.009,0.013,11850.0,4570.0,1.0
"z_innov_s[ES, 2018-02-18 00:00:00]",0.045,0.95,-1.788,1.846,0.008,0.014,12606.0,4106.0,1.0
"z_innov_s[ES, 2018-02-25 00:00:00]",-0.02,0.944,-1.785,1.765,0.009,0.014,10726.0,4512.0,1.0
"z_innov_s[ES, 2018-03-04 00:00:00]",-0.062,0.954,-1.767,1.846,0.009,0.013,11352.0,4901.0,1.0
"z_innov_s[ES, 2018-03-11 00:00:00]",-0.02,0.974,-1.838,1.835,0.009,0.015,12754.0,4277.0,1.0
"z_innov_s[ES, 2018-03-18 00:00:00]",-0.115,0.932,-1.863,1.656,0.008,0.013,12914.0,4560.0,1.0
"z_innov_s[ES, 2018-03-25 00:00:00]",-0.138,0.979,-1.964,1.699,0.009,0.014,11627.0,4387.0,1.0
"z_innov_s[ES, 2018-04-01 00:00:00]",-0.08,0.944,-1.923,1.651,0.009,0.013,10297.0,4296.0,1.0
"z_innov_s[ES, 2018-04-08 00:00:00]",-0.137,0.957,-1.872,1.692,0.009,0.014,10848.0,4223.0,1.0
"z_innov_s[ES, 2018-04-15 00:00:00]",0.04,0.951,-1.753,1.811,0.01,0.014,9927.0,4463.0,1.0
"z_innov_s[ES, 2018-04-22 00:00:00]",0.036,0.947,-1.751,1.793,0.008,0.015,12658.0,4590.0,1.0
"z_innov_s[ES, 2018-04-29 00:00:00]",0.107,0.958,-1.631,1.931,0.009,0.015,11852.0,3966.0,1.0
"z_innov_s[ES, 2018-05-06 00:00:00]",0.113,0.955,-1.741,1.815,0.009,0.013,11818.0,4643.0,1.0
"z_innov_s[ES, 2018-05-13 00:00:00]",0.153,0.959,-1.612,1.953,0.009,0.014,12900.0,4059.0,1.0
"z_innov_s[ES, 2018-05-20 00:00:00]",0.216,0.959,-1.487,2.106,0.009,0.014,10481.0,4586.0,1.0
"z_innov_s[ES, 2018-05-27 00:00:00]",0.216,0.973,-1.696,1.99,0.009,0.015,12846.0,4035.0,1.0
"z_innov_s[ES, 2018-06-03 00:00:00]",0.258,0.917,-1.515,1.965,0.009,0.013,9522.0,4549.0,1.0
"z_innov_s[ES, 2018-06-10 00:00:00]",0.079,0.952,-1.692,1.895,0.009,0.014,12085.0,4166.0,1.0
"z_innov_s[ES, 2018-06-17 00:00:00]",0.056,0.925,-1.617,1.82,0.009,0.014,10765.0,4691.0,1.0
"z_innov_s[ES, 2018-06-24 00:00:00]",0.178,0.965,-1.623,1.993,0.009,0.014,11952.0,4411.0,1.0
"z_innov_s[ES, 2018-07-01 00:00:00]",0.23,0.946,-1.55,1.965,0.009,0.014,11250.0,4338.0,1.0
"z_innov_s[ES, 2018-07-08 00:00:00]",0.113,0.933,-1.576,1.876,0.009,0.013,11866.0,4812.0,1.0
"z_innov_s[ES, 2018-07-15 00:00:00]",0.032,0.928,-1.708,1.752,0.009,0.013,9609.0,4303.0,1.0
"z_innov_s[ES, 2018-07-22 00:00:00]",0.012,0.953,-1.874,1.719,0.009,0.014,11615.0,4695.0,1.0
"z_innov_s[ES, 2018-07-29 00:00:00]",0.128,0.977,-1.806,1.909,0.009,0.016,11303.0,4380.0,1.0
"z_innov_s[ES, 2018-08-05 00:00:00]",0.204,0.954,-1.614,1.975,0.009,0.014,10827.0,4558.0,1.0
"z_innov_s[ES, 2018-08-12 00:00:00]",0.285,0.95,-1.528,2.038,0.009,0.014,10673.0,4360.0,1.0
"z_innov_s[ES, 2018-08-19 00:00:00]",0.223,0.952,-1.587,1.973,0.009,0.013,11252.0,4662.0,1.0
"z_innov_s[ES, 2018-08-26 00:00:00]",0.195,0.957,-1.546,2.015,0.009,0.014,11857.0,4520.0,1.0
"z_innov_s[ES, 2018-09-02 00:00:00]",0.23,0.944,-1.502,2.048,0.009,0.013,12176.0,4470.0,1.0
"z_innov_s[ES, 2018-09-09 00:00:00]",0.152,0.94,-1.609,1.904,0.009,0.013,11410.0,4450.0,1.0
"z_innov_s[ES, 2018-09-16 00:00:00]",0.234,0.947,-1.628,1.948,0.009,0.015,10769.0,4100.0,1.0
"z_innov_s[ES, 2018-09-23 00:00:00]",0.154,0.961,-1.617,1.983,0.009,0.015,11115.0,4078.0,1.0
"z_innov_s[ES, 2018-09-30 00:00:00]",0.077,0.932,-1.587,1.815,0.009,0.013,9846.0,4599.0,1.0
"z_innov_s[ES, 2018-10-07 00:00:00]",0.113,0.941,-1.638,1.861,0.009,0.013,10355.0,4551.0,1.0
"z_innov_s[ES, 2018-10-14 00:00:00]",0.024,0.948,-1.761,1.765,0.009,0.013,11409.0,4537.0,1.0
"z_innov_s[ES, 2018-10-21 00:00:00]",0.087,0.954,-1.747,1.826,0.009,0.014,10842.0,4582.0,1.0
"z_innov_s[ES, 2018-10-28 00:00:00]",0.023,0.979,-1.774,1.874,0.009,0.013,11070.0,4246.0,1.0
"z_innov_s[ES, 2018-11-04 00:00:00]",0.06,0.943,-1.641,1.875,0.009,0.012,11769.0,4887.0,1.0
"z_innov_s[ES, 2018-11-11 00:00:00]",0.143,0.957,-1.607,2.015,0.008,0.015,13340.0,4290.0,1.0
"z_innov_s[ES, 2018-11-18 00:00:00]",0.193,0.956,-1.577,2.015,0.009,0.014,11832.0,4347.0,1.0
"z_innov_s[ES, 2018-11-25 00:00:00]",0.265,0.941,-1.541,1.985,0.009,0.014,12153.0,4353.0,1.0
"z_innov_s[ES, 2018-12-02 00:00:00]",0.383,0.982,-1.411,2.242,0.01,0.013,10568.0,4738.0,1.0
"z_innov_s[ES, 2018-12-09 00:00:00]",0.529,0.957,-1.117,2.481,0.01,0.015,9786.0,3773.0,1.0
"z_innov_s[ES, 2018-12-16 00:00:00]",0.596,0.953,-1.292,2.288,0.009,0.013,10593.0,4410.0,1.0
"z_innov_s[ES, 2018-12-23 00:00:00]",0.694,0.973,-1.183,2.442,0.009,0.014,12071.0,4350.0,1.0
"z_innov_s[ES, 2018-12-30 00:00:00]",0.851,0.934,-0.978,2.535,0.009,0.014,11027.0,4569.0,1.0
"z_innov_s[ES, 2019-01-06 00:00:00]",-0.516,0.954,-2.278,1.258,0.01,0.014,9692.0,4628.0,1.0
"z_innov_s[ES, 2019-01-13 00:00:00]",-0.437,0.95,-2.215,1.346,0.009,0.015,11447.0,4442.0,1.0
"z_innov_s[ES, 2019-01-20 00:00:00]",-0.385,0.979,-2.287,1.339,0.01,0.013,10371.0,4189.0,1.0
"z_innov_s[ES, 2019-01-27 00:00:00]",-0.339,0.936,-2.022,1.439,0.01,0.013,9477.0,4386.0,1.0
"z_innov_s[ES, 2019-02-03 00:00:00]",-0.327,0.939,-2.085,1.375,0.009,0.013,10225.0,4515.0,1.0
"z_innov_s[ES, 2019-02-10 00:00:00]",-0.228,0.938,-2.011,1.517,0.009,0.013,10175.0,4673.0,1.0
"z_innov_s[ES, 2019-02-17 00:00:00]",-0.171,0.952,-1.943,1.61,0.01,0.014,8975.0,4151.0,1.0
"z_innov_s[ES, 2019-02-24 00:00:00]",-0.107,0.961,-1.962,1.664,0.009,0.013,12352.0,4596.0,1.0
"z_innov_s[ES, 2019-03-03 00:00:00]",-0.001,0.939,-1.798,1.741,0.01,0.013,9329.0,4585.0,1.0
"z_innov_s[ES, 2019-03-10 00:00:00]",0.09,0.973,-1.706,1.916,0.01,0.015,9933.0,4357.0,1.0
"z_innov_s[ES, 2019-03-17 00:00:00]",0.13,0.945,-1.61,1.89,0.01,0.014,9597.0,4364.0,1.0
"z_innov_s[ES, 2019-03-24 00:00:00]",0.162,0.926,-1.569,1.934,0.009,0.013,10843.0,4207.0,1.0
"z_innov_s[ES, 2019-03-31 00:00:00]",0.131,0.955,-1.655,1.821,0.009,0.014,11576.0,4156.0,1.0
"z_innov_s[ES, 2019-04-07 00:00:00]",0.139,0.938,-1.531,2.003,0.009,0.014,10385.0,3934.0,1.0
"z_innov_s[ES, 2019-04-14 00:00:00]",0.181,0.935,-1.584,1.966,0.01,0.013,9396.0,4012.0,1.0
"z_innov_s[ES, 2019-04-21 00:00:00]",0.258,0.955,-1.559,2.03,0.009,0.013,11026.0,4533.0,1.0
"z_innov_s[ES, 2019-04-28 00:00:00]",0.266,0.963,-1.538,2.071,0.009,0.013,11698.0,4953.0,1.0
"z_innov_s[ES, 2019-05-05 00:00:00]",0.268,0.93,-1.419,2.05,0.01,0.014,8996.0,4637.0,1.0
"z_innov_s[ES, 2019-05-12 00:00:00]",0.238,0.954,-1.515,2.066,0.008,0.015,12616.0,4209.0,1.0
