parameter,r_hat,ess_bulk
z_innov_s|AL|2015-05-10 00:00:00,0.9998934924013196,11089.16829080951
z_innov_s|AL|2015-05-17 00:00:00,0.9998183616740686,9002.862694604655
z_innov_s|AL|2015-05-24 00:00:00,1.0000106387437302,12657.311862753395
z_innov_s|AL|2015-05-31 00:00:00,0.9998659741467715,14299.733837388321
z_innov_s|AL|2015-06-07 00:00:00,1.0005390504052043,11335.004701200412
z_innov_s|AL|2015-06-14 00:00:00,1.00198096004655,12281.917239536297
z_innov_s|AL|2015-06-21 00:00:00,1.0021943060857657,12695.659038784857
z_innov_s|AL|2015-06-28 00:00:00,1.0020844520832284,10254.08736147626
z_innov_s|AL|2015-07-05 00:00:00,1.000660985597894,10584.164779227209
z_innov_s|AL|2015-07-12 00:00:00,1.000943155896083,11216.697269426533
z_innov_s|AL|2015-07-19 00:00:00,1.0015244341442675,10657.548261365346
z_innov_s|AL|2015-07-26 00:00:00,1.0001447850645762,10838.279380791626
z_innov_s|AL|2015-08-02 00:00:00,1.0019819509659351,10519.191171198234
z_innov_s|AL|2015-08-09 00:00:00,1.0001248879425,8955.510734198562
z_innov_s|AL|2015-08-16 00:00:00,1.0013092593256618,11566.86072960586
z_innov_s|AL|2015-08-23 00:00:00,1.0001912841144436,12732.381453897116
z_innov_s|AL|2015-08-30 00:00:00,0.9999220346576564,11462.065400613224
z_innov_s|AL|2015-09-06 00:00:00,1.0006233455398308,13089.861365793626
z_innov_s|AL|2015-09-13 00:00:00,0.9999496832198512,11196.851957574494
z_innov_s|AL|2015-09-20 00:00:00,1.0015369720412188,10170.69438828166
z_innov_s|AL|2015-09-27 00:00:00,1.0011555101857255,9870.836252426383
z_innov_s|AL|2015-10-04 00:00:00,1.0002159117145744,10551.771181220549
z_innov_s|AL|2015-10-11 00:00:00,1.0002570238512294,10785.11659059276
z_innov_s|AL|2015-10-18 00:00:00,1.000339740486517,10008.901159645568
z_innov_s|AL|2015-10-25 00:00:00,1.0006855179179448,10350.827315005405
z_innov_s|AL|2015-11-01 00:00:00,1.0015689935886325,11156.288249046527
z_innov_s|AL|2015-11-08 00:00:00,0.9999662137866365,11693.154316577238
z_innov_s|AL|2015-11-15 00:00:00,0.9999188096632505,10466.184685594035
z_innov_s|AL|2015-11-22 00:00:00,0.9999329447293703,10673.681775395919
z_innov_s|AL|2015-11-29 00:00:00,1.0039137244032952,9499.076019362907
z_innov_s|AL|2015-12-06 00:00:00,1.0014905783772305,11287.869416080895
z_innov_s|AL|2015-12-13 00:00:00,1.0005791841562368,10649.802115559947
z_innov_s|AL|2015-12-20 00:00:00,1.0008543431346684,11257.12663659425
z_innov_s|AL|2015-12-27 00:00:00,1.0009627752687376,11900.019295125601
z_innov_s|AL|2016-01-03 00:00:00,1.0002247883689996,14107.23951109404
z_innov_s|AL|2016-01-10 00:00:00,1.0008907437558807,10693.982570793143
z_innov_s|AL|2016-01-17 00:00:00,1.0014232498640268,9605.638093693735
z_innov_s|AL|2016-01-24 00:00:00,1.000717557778173,11350.47561185438
z_innov_s|AL|2016-01-31 00:00:00,1.0022010513159967,10241.96051632411
z_innov_s|AL|2016-02-07 00:00:00,1.0005465663867417,10713.251141550403
z_innov_s|AL|2016-02-14 00:00:00,1.0014868481746428,12184.281601172357
z_innov_s|AL|2016-02-21 00:00:00,1.0028150251125698,10488.601693943867
z_innov_s|AL|2016-02-28 00:00:00,1.0008949325032757,10418.061201946015
z_innov_s|AL|2016-03-06 00:00:00,1.0004007206258119,9827.331892893735
z_innov_s|AL|2016-03-13 00:00:00,1.0012563842771143,12758.924603487956
z_innov_s|AL|2016-03-20 00:00:00,1.0025921031099876,10618.260166156571
z_innov_s|AL|2016-03-27 00:00:00,1.0023400469953534,10698.781910547625
z_innov_s|AL|2016-04-03 00:00:00,1.0003826090711794,12289.218652328169
z_innov_s|AL|2016-04-10 00:00:00,0.9998613448797504,10937.910610447749
z_innov_s|AL|2016-04-17 00:00:00,1.0016099915114336,12548.481819527731
z_innov_s|AL|2016-04-24 00:00:00,1.0028026403152075,9993.370362639984
z_innov_s|AL|2016-05-01 00:00:00,1.000220285354907,10630.536808102168
z_innov_s|AL|2016-05-08 00:00:00,1.0016240979808535,9673.386606280088
z_innov_s|AL|2016-05-15 00:00:00,1.0034952112460922,12470.54082470977
z_innov_s|AL|2016-05-22 00:00:00,1.0020949459718291,12082.9007693826
z_innov_s|AL|2016-05-29 00:00:00,0.9997682124241825,12806.396711257545
z_innov_s|AL|2016-06-05 00:00:00,1.0013637165674174,11619.68826149568
z_innov_s|AL|2016-06-12 00:00:00,1.0012874130764433,12929.998480640656
z_innov_s|AL|2016-06-19 00:00:00,1.0009502103836136,12432.856309223504
z_innov_s|AL|2016-06-26 00:00:00,1.0004115192007828,9541.206473742031
z_innov_s|AL|2016-07-03 00:00:00,1.0009389981001322,10460.587335199354
z_innov_s|AL|2016-07-10 00:00:00,1.0013831086787734,10316.738733968565
z_innov_s|AL|2016-07-17 00:00:00,0.9996096182335635,12172.236212036372
z_innov_s|AL|2016-07-24 00:00:00,1.0011207996354985,11540.816025757913
z_innov_s|AL|2016-07-31 00:00:00,1.001148584861998,11772.853616295653
z_innov_s|AL|2016-08-07 00:00:00,1.0024019656375003,11878.520497732743
z_innov_s|AL|2016-08-14 00:00:00,1.0013575891235085,10192.34188465434
z_innov_s|AL|2016-08-21 00:00:00,1.001031948573039,9464.301867824222
z_innov_s|AL|2016-08-28 00:00:00,1.0000201244248996,10988.057278346896
z_innov_s|AL|2016-09-04 00:00:00,1.0006393322775249,12704.321193492475
z_innov_s|AL|2016-09-11 00:00:00,1.0007388991624684,9337.803290454252
z_innov_s|AL|2016-09-18 00:00:00,1.0015629151446594,11305.36745836899
z_innov_s|AL|2016-09-25 00:00:00,1.001211259703116,11789.649581316067
